top_ft,base_ft,facies_code,facies_name,aq_class,contact,top_m,base_m,thick_m,well,region,K_mday,porosity,T_m2day,easting,northing,lat,lon,td_m,mid_m
570,580,CL,Clay,Aquitard,Sharp,173.73600000000002,176.78400000000002,3.048000000000002,Umunede,Delta North,0.005,8,0.015240000000000009,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,175.26000000000002
580,730,MS-CS,Medium–Coarse Sand (transitional),Aquifer,Gradational,176.78400000000002,222.50400000000002,45.72,Umunede,Delta North,200.0,36,9144.0,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,199.644
730,795,CL,Clay,Aquitard,Sharp,222.50400000000002,242.316,19.811999999999983,Umunede,Delta North,0.005,8,0.09905999999999993,430722.5,249882.11,6.257333333333333,6.307308333333333,235.98,232.41000000000003
0,100,TS,Topsoil / Laterite,Aquitard,Sharp,0.0,30.48,30.48,Ewuru,Delta North,0.001,5,0.03048,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,15.24
100,275,FS-MS,Fine–Medium Sand (transitional),Aquifer,Gradational,30.48,83.82000000000001,53.34,Ewuru,Delta North,50.0,33,2667.0,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,57.150000000000006
275,345,MS,Medium Sand,Aquifer,Sharp,83.82000000000001,105.156,21.336,Ewuru,Delta North,100.0,35,2133.6,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,94.488
345,365,FS-MS,Fine–Medium Sand (transitional),Aquifer,Gradational,105.156,111.25200000000001,6.096000000000004,Ewuru,Delta North,50.0,33,304.8000000000002,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,108.20400000000001
365,385,FS,Fine Sand,Aquifer,Sharp,111.25200000000001,117.348,6.095999999999989,Ewuru,Delta North,25.0,32,152.39999999999975,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,114.30000000000001
385,460,CL,Clay,Aquitard,Sharp,117.348,140.208,22.86,Ewuru,Delta North,0.005,8,0.1143,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,128.778
460,560,MS,Medium Sand,Aquifer,Sharp,140.208,170.68800000000002,30.480000000000018,Ewuru,Delta North,100.0,35,3048.000000000002,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,155.448
560,675,CS,Coarse Sand,Aquifer,Sharp,170.68800000000002,205.74,35.05199999999999,Ewuru,Delta North,400.0,38,14020.799999999997,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,188.214
675,700,FS,Fine Sand,Aquifer,Sharp,205.74,213.36,7.6200000000000045,Ewuru,Delta North,25.0,32,190.5000000000001,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,209.55
700,722,CL,Clay,Aquitard,Sharp,213.36,220.06560000000002,6.705600000000004,Ewuru,Delta North,0.005,8,0.03352800000000002,412891.13,248184.55,6.242513888888889,6.146161111111112,220.0,216.71280000000002
0,62,TS,Topsoil / Laterite,Aquitard,Sharp,0.0,18.8976,18.8976,Ute-Okpu,Delta North,0.001,5,0.0188976,427145.52,242980.26,6.195041666666667,6.274783333333334,217.99,9.4488
62,75,CS,Coarse Sand,Aquifer,Sharp,18.8976,22.86,3.962399999999999,Ute-Okpu,Delta North,400.0,38,1584.9599999999996,427145.52,242980.26,6.195041666666667,6.274783333333334,217.99,20.8788
